id,name,address,picture url,ig_location,beauty,art,architecture,vista,nature,open space,daytime,night,explore
119,Corona Heights Park,Corona Heights Park,https://scontent-lga3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c135.0.810.810/12797756_1529478217347818_1062922049_n.jpg?ig_cache_key=MTIwNjEzMzAxNzU1NDAwNTYzOA%3D%3D.2.c,851845775,7,0,2,10,8,7,10,0,4
120,The 16th Avenue Tiled Steps,16th Avenue Tiled Steps,https://scontent-lga3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12142490_1067404029945664_1238402333_n.jpg?ig_cache_key=MTA5MzAxMDM0Mjc3MjAzMTg1Nw%3D%3D.2,1008993566,9,9,3,5,5,5,10,0,2
121,Embarcadero,,,,,,,,,,,,
122,Yerba Buena Gardens,"750 Howard St, San Francisco, CA 94103",https://scontent-lga3-1.cdninstagram.com/t51.2885-15/e35/c257.0.565.565/12748232_777931122322099_1219095101_n.jpg?ig_cache_key=MTE5MDMyOTI2MTk5MTQyODkzMw%3D%3D.2.c,406581871,10,8,8,7,6,6,10,8,7
123,Strawberry Hill,Strawberry Hill,https://scontent-lga3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c0.135.1080.1080/11420830_1072107942823877_326873261_n.jpg?ig_cache_key=MTEwNzU5NDc1NjY0MzA0NzQzOA%3D%3D.2.c,216670945,8,5,5,7,9,7,10,0,7
124,Shakespeare Garden,Shakespeare Garden,https://scontent-lga3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c0.85.1080.1080/11925743_1611557692439275_1731182733_n.jpg?ig_cache_key=MTA2MTIwMjQzMDk0NDA0MDQyMA%3D%3D.2.c,316794,7,2,7,1,8,7,10,0,4
125,Huntington Park,,,,,,,,,,,,
126,Glen Canyon Park,,,,,,,,,,,,
127,Mission Creek Parks,,,,,,,,,,,,
128,Buena Vista Park,,,,,,,,,,,,
129,Sutro Baths,,,,,,,,,,,,
130,Lafayette Park,,,,,,,,,,,,
131,Alta Plaza Park,,,,,,,,,,,,
132,Levi’s Plaza Park,,,,,,,,,,,,
133,Vallejo Street Steps,,,,,,,,,,,,
134,One Kearny,,,,,,,,,,,,
135,Transamerica Redwood Park,,,,,,,,,,,,
136,City Hall,,,,,,,,,,,,
137,Lake Merced,,,,,,,,,,,,
138,Clarion Alley Mural Project,,,,,,,,,,,,
139,The Women's Building mural,,,,,,,,,,,,
140,Grattan School herb garden,,,,,,,,,,,,
141,Mosaic steps on 16th and Moraga,,,,,,,,,,,,
142,Sutro Forest,,,,,,,,,,,,
143,Randall Museum View,,,,,,,,,,,,
144,GG Park Rose Garden,,,,,,,,,,,,
145,McLaren Water Tower,,,,,,,,,,,,
146,Grace Cathederal,,,,,,,,,,,,
147,Mt. Davidson,,,,,,,,,,,,
148,Fort Funston,,,,,,,,,,,,
149,Glen Canyon Park,,,,,,,,,,,,
150,Potrero View,1300 19th Street,,,,,,,,,,,
151,McKinley park community gardens,,,,,,,,,,,,
152,Redwood Grove - SF botanical garden,,,,,,,,,,,,
153,labyrinth in PH open space,,,,,,,,,,,,
154,arkansas to wisconsin,,,,,,,,,,,,
155,Pflueger 1925 Art Deco,,,,,,,,,,,,
156,Federal building,"San Francisco Federal Building, San Francisco, CA",,,,,,,,,,,
157,500 Capp Street,,,,,,,,,,,,
158,SFAI brutalist,"800 Chestnut St, San Francisco, CA 94133",,,,,,,,,,,
159,India Basin,,,,,,,,,,,,
160,Washington Square Park,,,,,,,,,,,,
161,Aquatic Park,,,,,,,,,,,,
162,Starr King Open Space,,,,,,,,,,,,
163,Cayuga playground,,,,,,,,,,,,
164,Crown Zellerbach Bldg.,,,,,,,,,,,,
165,Balmy Alley,,,,,,,,,,,,
166,The Bronze Chairs at Church & Duboce,,,,,,,,,,,,
167,Pier 70 - Industrial Rust,,,,,,,,,,,,
168,,,,,,,,,,,,,
169,,,,,,,,,,,,,
170,,,,,,,,,,,,,
171,,,,,,,,,,,,,
172,,,,,,,,,,,,,
173,,,,,,,,,,,,,
174,,,,,,,,,,,,,
175,,,,,,,,,,,,,
176,,,,,,,,,,,,,
177,,,,,,,,,,,,,
178,,,,,,,,,,,,,
179,,,,,,,,,,,,,
180,,,,,,,,,,,,,
181,,,,,,,,,,,,,
182,,,,,,,,,,,,,
183,,,,,,,,,,,,,
184,,,,,,,,,,,,,
185,,,,,,,,,,,,,
186,,,,,,,,,,,,,
187,,,,,,,,,,,,,
188,,,,,,,,,,,,,
189,,,,,,,,,,,,,
190,,,,,,,,,,,,,
191,,,,,,,,,,,,,
192,,,,,,,,,,,,,
193,,,,,,,,,,,,,
194,,,,,,,,,,,,,
195,,,,,,,,,,,,,
196,,,,,,,,,,,,,
197,,,,,,,,,,,,,
198,,,,,,,,,,,,,
199,,,,,,,,,,,,,
200,SFHeart-Greek Vase,"100 Pine St, San Francisco, CA",https://c1.staticflickr.com/9/8226/8519397275_4fae42771d_c.jpg,,,,,,,,,,
201,SFHeart-Wired to be United,"1111 Oak St, San Francisco, CA 94117",https://c1.staticflickr.com/9/8250/8493930858_3e7bd95dbf_n.jpg,,,,,,,,,,
