name,address,picture url,ig_location,beauty,art,architecture,vista,nature,open space,daytime,night,explore
Balmy Alley,"Balmy Alley Murals, San Francisco, CA",https://scontent-lga3-1.cdninstagram.com/t51.2885-15/e35/12751201_1052975434745536_1247614223_n.jpg?ig_cache_key=MTIwODE0NTAwMzU4MDk3NzM1Mw%3D%3D.2,678638,8,10,4,3,1,1,10,1,5
Coit Tower,"Coit Tower, 1 Telegraph Hill Boulevard, San Francisco, CA 94133",https://scontent-lga3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/1171981_102697150129387_2140030179_n.jpg?ig_cache_key=MTIwOTQ0MDc1NzEzMDk3MjE2Mg%3D%3D.2,213421122,7,6,8,8,6,5,9,7,6
Grace Cathederal,"1100 California St, San Francisco, CA 94108",https://scontent-lga3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c0.134.1080.1080/12383216_802162456572597_441516563_n.jpg?ig_cache_key=MTE3NzkyMDkxMTQ0MjIxNzI3OA%3D%3D.2.c,3505,10,8,9,8,7,7,10,8,6
Bernal Heights Park,"10 Bernal Heights Blvd, San Francisco, CA 94110",https://scontent-lga3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12826218_1689015558053290_1136123522_n.jpg?ig_cache_key=MTIwOTExNjkyNDg1OTU3NDI5Nw%3D%3D.2,213322722,7,0,1,10,8,10,10,4,7
Ocean Beach,Ocean Beach,https://scontent-lga3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c0.134.1080.1080/10817814_180190949030316_1087374299_n.jpg?ig_cache_key=MTIwODQ1MTI2MDg0NzcxNzUzNQ%3D%3D.2.c,207869823,8,0,0,10,8,10,10,7,7
Ferry Building,"Ferry Building, 180 Howard Street, San Francisco, CA 94105",https://scontent-lga3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c0.31.1080.1080/10349610_728900520578860_1154771412_n.jpg?ig_cache_key=MTIwODkxMzIxOTcyNzMxMDIyNQ%3D%3D.2.c,673,7,1,8,10,5,4,10,9,7
Sutro Heights Park,Sutro Heights Park,https://scontent-lga3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c135.0.809.809/12816951_514003218779273_1482208679_n.jpg?ig_cache_key=MTIwODk4NTM3NzI4NDc4MDAxMA%3D%3D.2.c,889368924,9,0,2,10,10,9,10,2,7
Yerba Buena Gardens,"750 Howard St, San Francisco, CA 94103",https://scontent-lga3-1.cdninstagram.com/t51.2885-15/e35/c257.0.565.565/12748232_777931122322099_1219095101_n.jpg?ig_cache_key=MTE5MDMyOTI2MTk5MTQyODkzMw%3D%3D.2.c,406581871,10,8,8,7,6,6,10,8,7
Strawberry Hill,Strawberry Hill,https://scontent-lga3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c0.135.1080.1080/11420830_1072107942823877_326873261_n.jpg?ig_cache_key=MTEwNzU5NDc1NjY0MzA0NzQzOA%3D%3D.2.c,216670945,8,5,5,7,9,7,10,0,7
City Hall,City and County of San Francisco City Hall,https://scontent-lga3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/1390286_685258894946662_351989821_n.jpg?ig_cache_key=MTIwOTY4MjE3OTQ5MDA0MzQxNQ%3D%3D.2,212911754,10,5,10,5,5,5,9,10,7
500 Capp Street,"500 Capp Street, San Francisco, CA",https://scontent-lga3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c135.0.810.810/12825837_842753145853729_1894560635_n.jpg?ig_cache_key=MTIwMjM3NDA3NzY4NzQzOTY4Ng%3D%3D.2.c,266980561,8,10,10,0,0,0,10,5,9
Lands End Trail,"Lands End Trail, San Francisco, CA",https://scontent-lga3-1.cdninstagram.com/t51.2885-15/e35/c247.0.586.586/12531153_854468611330130_538971429_n.jpg?ig_cache_key=MTIwOTIxNDEwMzY5NDYzMzY4OQ%3D%3D.2.c,90579,8,0,0,10,10,10,10,0,10
Crissy Field,"1199 E Beach, San Francisco, CA 94129",https://scontent-lga3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c135.0.809.809/12826110_1539839386312953_281070030_n.jpg?ig_cache_key=MTIwOTUwODY5NzI2MTg2NjIxOQ%3D%3D.2.c,209408689,7,2,4,10,10,10,10,2,10
